Record_ID,Hour,Day_of_Week,Vehicle_Count,Average_Speed_kmph,Traffic_Density_veh_per_km,Road_Occupancy_percent,Traffic_Condition
548,20,6,82.0,43.09,49.71,26.89,Moderate
549,19,1,148.0,45.56,47.83,30.63,Moderate
550,4,6,250.0,28.7,56.02,58.69,High
551,4,3,91.0,30.67,51.38,32.3,Moderate
552,13,2,269.0,31.45,81.35,67.16,High
553,7,2,98.0,38.73,45.0,27.83,Moderate
554,11,2,123.0,44.14,54.02,49.8,Moderate
555,2,6,180.0,30.03,76.97,50.23,High
556,10,2,84.0,36.08,34.54,53.83,Moderate
557,15,4,35.0,64.59,21.32,16.26,Low
558,16,3,49.0,45.39,10.34,28.33,Low
559,18,0,248.0,,66.59,66.09,High
560,9,4,137.0,49.81,47.7,38.27,Moderate
561,10,5,112.0,41.58,42.08,51.05,Moderate
562,20,3,69.0,60.46,22.66,19.39,Low
563,13,2,64.0,61.24,26.09,24.3,Low
564,17,6,46.0,56.37,23.5,23.55,Low
565,8,5,35.0,60.79,11.09,22.89,Low
566,0,6,143.0,41.09,47.43,49.31,Moderate
567,13,1,36.0,56.38,23.36,26.75,Low
568,14,3,89.0,43.71,25.75,30.14,Moderate
569,23,1,189.0,30.07,88.44,71.44,High
570,3,5,27.0,48.84,21.45,15.54,Low
571,19,4,95.0,44.81,27.85,42.82,Moderate
572,22,5,189.0,15.77,86.63,74.65,High
573,23,2,76.0,59.92,20.03,29.52,Low
574,18,3,122.0,46.0,51.54,28.76,Moderate
575,7,6,186.0,32.43,74.91,88.94,High
576,20,6,244.0,29.4,55.12,63.9,High
577,18,5,26.0,65.42,27.05,28.76,Low
578,19,1,160.0,29.74,66.65,56.72,High
579,2,4,157.0,32.02,30.02,29.42,Moderate
580,10,5,54.0,47.86,10.17,13.11,Low
581,6,3,133.0,35.99,31.98,28.89,Moderate
582,21,3,198.0,18.84,62.1,89.01,High
583,22,5,151.0,36.85,50.94,29.65,Moderate
584,4,5,16.0,65.73,24.13,22.34,Low
585,15,3,79.0,40.11,29.32,43.72,Moderate
586,9,0,76.0,66.89,18.83,29.68,Low
587,12,0,69.0,46.42,18.37,19.17,Low
588,9,6,62.0,58.68,29.84,23.28,Low
589,7,3,77.0,48.16,21.25,25.3,Low
590,2,1,77.0,58.99,23.74,23.16,Low
591,7,4,30.0,53.21,19.08,25.25,Low
592,13,6,150.0,46.36,40.3,47.09,Moderate
593,5,6,68.0,50.75,21.05,17.44,Low
594,2,4,52.0,66.37,13.31,27.09,Low
595,5,5,299.0,25.1,73.06,72.35,High
596,16,2,101.0,45.95,36.02,27.61,Moderate
597,8,6,100.0,41.46,35.13,54.66,Moderate
598,16,3,36.0,63.79,22.47,22.01,Low
599,23,1,68.0,51.63,21.09,13.99,Low
600,12,6,37.0,52.29,14.15,14.76,Low
